+----+------------------------------------------+-------------+---------------+
| No |               Nama Barang                |     Stok    |     Harga     |
|72  | Rinso Molto Anti Noda Deterjen           |         122 |        10,000 |
|73  | Roma Biscuit Sari Gandum                 |          67 |        10,500 |
|74  | Roma Marie Gold 240g                     |          24 |        28,500 |
|75  | Salonpas Koyo                            |           0 |        14,500 |
|76  | Sangobion Suplemen                       |         123 |        22,200 |
|77  | Sari Roti Sobek Coklat                   |          69 |        18,000 |
|78  | Sari Roti Tawar Jumbo                    |          23 |        18,000 |
|79  | Sasa Bumbu Serbaguna Original            |          87 |         6,900 |
|80  | Sedaap Mie Instant Goreng 85 g           |          34 |         5,700 |
|81  | SHINZUI Skin Lightening Bar So           |         320 |         5,900 |
|82  | Silver Queen Chonky Bar Milk C           |          89 |        25,900 |
|83  | Snack Tortila Chips Merah 140g           |          34 |        11,500 |
|84  | SOS Pembersih Lantai refill Ap           |          65 |        11,700 |
|85  | Sosro Fruit Tea Blackcurrant 5           |          39 |         7,100 |
|86  | Sprite Soft Drink 390ml                  |          78 |         5,900 |
|87  | Strepsil Soothing Honey Lemon            |          87 |        21,700 |
|88  | Tango Wafer Long Vanilla Milk            |          43 |         8,900 |
|89  | Tebs Sparkling Soda Mix Fruit            |          87 |         8,300 |
|90  | Teh Botol Sosro Less Sugar 350           |         143 |         3,900 |
|91  | Teh Puuck Harum Less Sugar 350           |          43 |         3,900 |
|92  | Tessa Facial Tissue 260's                |          76 |        23,700 |
|93  | Tropical Minyak Goreng  2000 M           |          67 |        36,100 |
|94  | Ultra susu UHT 200 ML                    |          64 |         6,300 |
|95  | Whiskas Adult Ocean Fish Pouch           |          78 |         8,100 |
|96  | Yakult 5x65 ML                           |          30 |        10,500 |
|97  | Yakult Minuman Probiotik 5 pcs           |          61 |        10,500 |
|98  | You C1000 Health Drink Vitamin           |          59 |         7,900 |
+----+------------------------------------------+-------------+---------------+

