+----+------------------------------------------+-------------+---------------+
| No |               Nama Barang                |     Stok    |     Harga     |
|71  | Sangobion Suplemen                       |         123 |        22,200 |
|72  | Sari Roti Sobek Coklat                   |          69 |        18,000 |
|73  | Sari Roti Tawar Jumbo                    |          23 |        18,000 |
|74  | Sasa Bumbu Serbaguna Original            |          87 |         6,900 |
|75  | SHINZUI Skin Lightening Bar So           |         320 |         5,900 |
|76  | Silver Queen Chonky Bar Milk C           |          89 |        25,900 |
|77  | Snack Tortila Chips Merah 140g           |          34 |        11,500 |
|78  | SOS Pembersih Lantai refill Ap           |          65 |        11,700 |
|79  | Sosro Fruit Tea Blackcurrant 5           |          39 |         7,100 |
|80  | Sprite Soft Drink 390ml                  |          78 |         5,900 |
|81  | Strepsil Soothing Honey Lemon            |          87 |        21,700 |
|82  | Tango Wafer Long Vanilla Milk            |          43 |         8,900 |
|83  | Tebs Sparkling Soda Mix Fruit            |          87 |         8,300 |
|84  | Teh Botol Sosro Less Sugar 350           |         143 |         3,900 |
|85  | Teh Puuck Harum Less Sugar 350           |          43 |         3,900 |
|86  | Tessa Facial Tissue 260's                |          76 |        23,700 |
|87  | Tropical Minyak Goreng  2000 M           |          63 |        36,100 |
|88  | Ultra susu UHT 200 ML                    |          64 |         6,300 |
|89  | Whiskas Adult Ocean Fish Pouch           |          78 |         8,100 |
|90  | Yakult 5x65 ML                           |          30 |        10,500 |
|91  | Yakult Minuman Probiotik 5 pcs           |          61 |        10,500 |
|92  | You C1000 Health Drink Vitamin           |          59 |         7,900 |
+----+------------------------------------------+-------------+---------------+

